price,volume
96471.85,4.04206
96437.34,3.79179
96449.5,3.896
96486.75,36.96426
96400.01,78.43778
96413.82,10.60171
96390.42,25.14219
96399.99,4.18945
96344.0,6.29486
96288.0,11.95489
96179.04,17.93837
96200.0,8.78152
96199.43,12.56457
96084.01,23.33414
96055.98,28.87885
96076.02,9.71309
96106.62,4.63502
96074.12,82.00669
96163.43,12.64292
96197.8,9.21395
96144.0,6.12167
96172.0,11.04181
96167.66,6.50178
96135.77,30.97832
96154.33,10.47467
96195.61,3.58237
96183.48,4.53088
96289.35,950.342
96310.27,77.36102
96183.15,21.84585
96174.45,15.42779
96151.97,12.94998
96137.51,12.33045
96080.0,6.21833
96087.34,11.12411
96149.57,13.73106
96215.24,9.07997
96158.41,13.63489
96158.11,16.09674
96151.99,7.4607
96120.0,7.09348
96103.01,15.85668
96187.6,6.57217
96160.79,5.49713
96120.0,5.33653
96124.45,3.26041
96119.75,3.49626
96053.19,15.33741
96011.67,38.49451
96029.53,8.83776
95980.79,42.32107
95957.76,20.27488
95959.82,11.33032
95907.89,22.64746
95781.0,86.61837
95812.0,20.542
95822.58,10.90966
95799.99,17.98403
95827.94,16.83796
95856.33,11.57818
95876.02,13.22584
95872.87,15.71923
95909.25,9.32728
95972.0,9.37966
95938.49,6.16902
95948.0,4.98557
95904.49,7.34443
95925.51,5.33356
95856.06,11.81096
95947.98,11.11439
95967.99,5.79493
95972.02,3.21728
95928.17,6.77793
95804.0,10.51942
95750.0,14.22714
95710.32,26.81776
95776.22,15.28624
95804.01,12.21553
95854.18,5.73075
95857.14,7.25567
95917.5,9.52733
95916.68,7.45834
95936.93,11.64871
95931.86,4.05556
95941.45,1.80395
95959.49,6.32199
95952.39,6.64889
95988.0,2.5652
96026.56,7.66182
96200.0,29.95004
96202.39,9.01586
96160.0,13.26698
96146.1,6.22698
96123.98,6.02914
96145.03,3.82436
96187.99,3.46258
96153.78,3.13543
96154.12,3.64117
96157.45,9.60547
96071.99,8.87497
