price,volume
4470.82,0.322366
4470.0,0.248009
4470.0,0.766008
4470.0,4.117776
4470.0,1e-06
4470.0,0.3034
4469.0,0.213872
4469.0,0.121306
4469.0,1e-06
4469.0,0.254984
4460.0,0.65217
4460.0,1.088892
4460.0,0.242059
4460.0,0.120548
4460.0,0.950092
4460.0,0.957037
4469.0,0.54076
4469.0,0.542332
4469.99,0.536322
4469.99,1.365382
4469.0,0.042962
4445.0,1.276884
4445.0,0.597
4432.7,0.0992
4433.2,1.075038
4433.2,0.14675
4445.0,1.3263
4432.2,2.815312
4432.2,0.520579
4444.9,1.731294
4431.76,0.681321
4420.0,0.161379
4420.0,0.483905
4421.0,8.561232
4399.64,2.28704
4381.71,3.416081
4382.95,2.353
4382.95,0.010163
4377.54,1.50694
4377.54,0.232073
4377.54,1.261686
4382.95,2.008579
4382.95,1e-06
4396.47,0.706623
4392.95,0.114
4392.95,2.066609
4425.83,1.551119
4425.83,5.330091
4423.63,0.641441
4423.63,0.321789
4423.63,0.127402
4412.38,0.757878
4377.54,1.709299
4371.45,0.607785
4377.54,0.372734
4377.54,0.315711
4377.54,1e-06
4352.34,0.169983
4352.34,6.399274
4352.34,1e-06
4352.35,1.612469
4320.0,0.635793
4314.5,2.735415
4325.0,1.264554
4354.35,1.984577
4302.1,5.355625
4300.0,3.898083
4261.32,6.227019
4293.61,1.993581
4291.77,4.760326
4290.75,2.761322
4290.75,0.316
4290.75,1e-06
4307.17,0.632789
4290.75,2.022926
4290.75,6.696603
4294.08,0.989574
4294.08,1.228253
4294.08,0.177379
4294.08,0.112339
4284.72,0.739616
4284.72,1.121078
4304.78,0.685479
4307.43,1.933974
4307.43,0.02
4307.43,0.977838
4336.69,0.733456
4290.17,1.222022
4290.17,0.371858
4290.17,0.538117
4337.29,1.65935
4337.29,0.097888
4337.29,1e-06
4337.29,1e-06
4337.29,0.091119
4337.29,0.102587
4337.29,0.606851
4322.23,0.41154
4322.23,0.116
4320.29,0.287585
4302.54,3.946881
4300.29,0.163798
4300.29,0.026413
4300.29,0.067712
4300.29,1e-06
4300.29,0.471955
4300.29,0.836225
4338.13,0.071186
4338.13,0.348978
4338.13,0.216112
4338.13,0.892787
4338.13,1e-06
4338.13,0.939328
4338.13,1.688884
4354.18,0.07445
4354.18,1e-06
4354.18,0.405758
4354.18,0.178288
4354.18,0.009051
4354.18,1e-06
4354.18,0.390481
4354.18,0.265002
4354.18,0.091361
4354.18,0.525141
4354.18,0.262547
4341.31,0.262767
4341.31,4.142298
4341.31,0.033397
4341.31,1.098296
4341.31,1e-06
4341.31,0.317897
4354.84,0.488621
4354.84,1e-06
4341.31,4.228521
4354.84,1.03038
4322.23,0.479664
4322.23,0.276626
4322.23,0.082504
4322.23,0.176221
4322.23,0.586626
4318.21,3.95531
4318.21,0.252923
4318.21,1e-06
4318.21,1.558324
4318.21,1e-06
4335.28,0.171771
4335.28,0.083618
4335.28,0.351204
4335.28,0.289996
4335.28,0.585057
4337.29,0.040795
4337.29,0.435826
4337.29,2.649999
4337.29,0.551516
4337.29,0.569585
4337.29,0.377992
4337.29,0.279954
4354.84,0.503106
4354.84,1e-06
4354.84,1e-06
4354.84,0.128353
4341.3,0.278779
4328.15,0.64279
4328.15,1e-06
4315.11,0.005666
4315.11,0.060504
4315.11,5.99407
4328.15,0.304711
4328.15,0.2088
4328.15,0.02377
4328.15,0.809029
4309.05,1.596581
4309.05,2.358468
4309.05,1e-06
4307.17,0.423056
4302.15,4.918278
4253.82,13.137162
4239.36,0.626514
4289.24,0.753055
4289.24,1.147606
4282.43,0.188412
4268.01,1.321616
4268.01,1e-06
4263.99,1.120763
4253.56,0.096962
4236.89,5.840977
4231.87,0.354428
4231.87,0.473725
4231.87,1.300847
4231.87,1.991197
4231.87,0.67752
4269.51,0.958052
4282.43,0.488535
4282.43,0.351355
4282.43,0.746156
4278.01,0.033859
4278.01,0.806405
4302.15,4.366899
4302.15,1e-06
4302.15,0.537551
4302.45,0.243168
4302.44,0.360289
4302.45,0.883199
4302.45,0.054225
4287.69,0.177203
4287.69,0.035636
4287.69,0.3524
4287.69,1e-06
4287.69,0.03721
4287.69,0.051423
4287.69,0.234549
4287.69,0.290857
4287.69,0.686466
4287.69,0.912674
4302.45,0.764248
4302.45,1e-06
4284.27,0.630753
4284.27,4.020848
4267.01,0.965019
4246.9,0.518974
4246.9,0.253349
4246.9,1.312269
4237.85,0.067005
4237.85,0.88868
4237.85,0.38656
4237.85,4.709319
4237.85,1e-06
4237.85,0.739676
4241.9,0.065555
4261.99,0.46887
4261.99,1.558428
4267.01,1.776628
4267.01,1.388347
4254.96,0.319673
4254.96,0.314732
4254.96,1.86732
4256.97,1.041051
4256.97,0.092343
4256.97,0.003352
4256.97,0.522423
4237.72,5.525119
4208.11,2.830953
